1722949942542152156;-1;0;0;0
1722949943036439278;-1;0;0;0
1722949943536869877;0;0;0;513
1722949944038678097;0;0;0;512
1722949944532668191;0;0;0;510
1722949945036938037;0;0;0;515
1722949945533172321;0;0;0;515
1722949946037214216;0;0;0;512
1722949946537633008;0;0;0;520
1722949947040660157;0;-2;0;513
1722949947537458320;0;-10;0;531
1722949948039339371;0;-1;0;543
1722949948536478755;0;-1;0;543
1722949949036045401;0;-27;0;615
1722949949538852215;0;-3;0;619
1722949950037925421;0;-11;0;652
1722949950540138191;0;-16;0;725
1722949951038406150;0;-2;0;761
1722949951538131252;0;-10;0;884
1722949952037180146;0;0;0;884
1722949952536464261;0;-4;0;510
1722949953040069426;0;0;0;512
1722949953536784614;0;-3;0;532
1722949954040361955;0;-3;0;560
1722949954542429044;0;-8;0;600
1722949955043220693;0;-1;0;603
1722949955542696358;0;-11;0;626
1722949956041859981;0;-5;0;643
1722949956539217142;0;-3;0;649
1722949957042064191;0;-9;0;674
1722949957538612278;0;-6;0;715
1722949958041825083;0;-5;0;735
1722949958541651133;0;-7;0;755
